265	mono-Loh-foh-sore-us	single-crested lizard	Zhao and Currie	1993
667	mono-Nike-us	single claw	Perle, Norell, Chiappe and Clark	1993
325	tsah-gahn-tay-gee-a	Tsagan Teg	Tumanova	1993
940	YOO-tah-RAP-tor	Utah plunderer	Kirkland, Gaston and Burge	1993
691	cry-o-loaf-oh-sore-us	frozen crested lizard	Hammer and Hickerson	1994
963	pel-e-kan-i-mim-us	pelican mimic	Pérez-Moreno, Sanz, Buscalioni, Moratalla, Ortega and Rasskin-Gutman	1994
548	ah-KEL-oo-SORE-us	Achelous' lizard	Sampson	1995
307	am-pel-oh-sore-us	vineyard lizard	Le Loeuff	1995
370	boo-jen-ah-sore-ah	large cheek lizard	Galton	1995
856	chin-dee-sore-us	Chinde lizard	Long and Murry	1995
407	kon-few-shus-or-niss	Confucius bird	Hou, Zhou, Gu and Zhang	1995
795	ie-nee-oh-sore-us	bison lizard	Sampson	1995
273	gig-an-OH-toe-SORE-us	giant southern lizard	Coria and Salgado	1995
120	jing-shahn-oh-sore-us	Jingshan lizard	Zhang and Yang	1995
708	del-tah-drohm-ee-us	delta runner	Sereno, Duthiel, Iarochene, Larsson, Lyon, Magwene, Sidor, Varricchio and Wilson	1996
589	gas-pah-reen-ee-sore-us	Gasparini's lizard	Coria and Salgado	1996
501	irr-it-ate-or	irritator	Martill, Cruickshank, Frey, Small and Clarke	1996
505	nee-oh-ve-nay-tor	new hunter	Hutt, Martill and Barker	1996
648	sore-oh-fag-ah-naks	king of the lizard eaters	Chure	1996
158	sine-oh-sore-op-ter-iks	Chinese lizard wing	Ji and Ji	1996
877	iss-ee-sore-us	ISI (Indian Statistical Institute) lizard	Jain and Bandyopadhyay	1997
246	pro-tark-ee-op-ter-iks	before Archaeopteryx	Ji and Ji	1997
151	oon-en-lahg-ee-ah	half bird	Novas and Puerta	1997
376	caw-dip-ter-iks	tail feather	Ji, Currie, Norell and Ji.	1998
968	ee-oh-lam-bee-ah	dawn lambeosaurine	Kirkland	1998
599	gahr-goy-lee-oh-sore-us	gargoyle lizard	Carpenter, Miles and Cloward	1998
792	gas-toh-nee-ah	[Robert] Gaston	Kirkland	1998
600	proh-toh-had-ros	first hadrosaur	Head	1998
670	shu-voo-ee-ah	bird	Chiappe, Norell and Clark	1998
951	sook-oh-mim-us	crocodile mimic	Sereno, Beck, Dutheil, Gado, Larsson, Lyon, Marcot, Rauhut, Sadleir, Sidor, Varricchio, Wilson and Wilson	1998
451	zoo-nee-serra-tops	Zuni horned head	Wolfe and Kirkland	1998
867	a-kil-oh-bah-tor	Achilles hero	Perle, Norell and Clark	1999
964	bay-pyow-sore-us	Beipiao lizard	Xu, Tang and Wang	1999
212	chow-yahng-sore-us	Chaoyang lizard	Zhao, Cheng and Xu	1999
571	gwie-bah-sore-us	[Rio] Guaiba lizard	Bonaparte, Ferigolo and Ribeiro	1999
